publishedAt,authorDisplayName,textDisplay,likeCount
2024-07-11T14:23:10Z,@nitadwifitriani3402,Orangtua shakira gamau buat seminar atau buku apa ya tentang parenting,0
2024-07-11T14:22:55Z,@pani_alitv7356,Asyikkk woiiii,0
2024-07-11T14:22:30Z,@hestika1951,SERU BANGET CUIII PAS SESI GAMES NYA WKWKWK,0
2024-07-11T14:21:58Z,@rosianadevita3316,Berkelas banget ini.. berbobot..👍❤,0
2024-07-11T14:21:57Z,@sucisakhi7447,Bangga bgt lihat mereka 😍❤️ buat kak Sandy kita sama2 dari Cirebon ☺️☺️🥰,0
2024-07-11T14:21:42Z,@Harpsay,"Sandy bilang syuting sampe akhir, trus di menit berikutnya sandy bilang grand final 1v1, brti grand final nya Sandy vs XYZ 😂",0
2024-07-11T14:21:28Z,@lilisnurjanah9585,Aaaa bnyak banget plajaran dari siniii ....mkasih udah undang mereka ...menginsfirasi banget buat kita2 yg nonton,0
2024-07-11T14:20:57Z,@dafiya5aarkan1d97,KEREN👏👏👏👏👏,0
2024-07-11T14:20:40Z,@lisaazliyah,Woyy. Soal blm selesai dijelasin udah bisa dijawab. Otakkknyaaa luar biasa.,0
2024-07-11T14:20:38Z,@lukluilmaknun8376,Wih trending satu,0
2024-07-11T14:20:13Z,@mellanirivana7351,Seruuuuu,0
2024-07-11T14:19:38Z,@kartikasariNamaSaya,Semoga anakku bisa kyak kalin positifnya dan vibes nya,0
2024-07-11T14:19:37Z,@SefritaKurniawati,"Ngijutin xaviera dr awal dia bikin vlog pas kukiah sih, kaget bgt pas liat dia ikutan coc 😄 penasaran sandy nagis kenapa yak. Wkwk",0
2024-07-11T14:19:36Z,@Dangerously_12,"no hate but di detik <a href=""https://www.youtube.com/watch?v=s4B-EBsXcH8&amp;t=214"">3:34</a> greget bgt sama xaviera",0
2024-07-11T14:19:24Z,@vaxev,Overflowing with positive vibes 👏🏼👏🏼👏🏼,0
2024-07-11T14:19:17Z,@m.zikrigiffari8072,Respect shakira muslimah bgt👍,0
2024-07-11T14:19:10Z,@arulifebiasn746,"<a href=""https://www.youtube.com/watch?v=s4B-EBsXcH8&amp;t=3026"">50:26</a> Tas mahal😂",0
2024-07-11T14:18:39Z,@ulfatuzzzahroh234,"seru yah, bahkan waktu ngobrol kek gini i still can feel hawa kompetisi nya, jiwa kompetitif yang terbentuk jadi hal baik, sukses terus adek-adek ku sayang",0
2024-07-11T14:18:24Z,@user-ve6qx1ws8u,Seruu bgt anjir pas kuiss,0
2024-07-11T14:17:45Z,@FaikaAsamul,MasyaAllahhhhhh akan ku ingat afirmasi positif iniiiii ❤,0
2024-07-11T14:17:29Z,@nuralisasain1480,"ini membuktikan bahwa peran orang tua sangat amat penting. mereka cerdas karena ada orang tua yang selalu support, memberi motivasi🥺",0
2024-07-11T14:17:26Z,@dwipamaya2706,Kalian semua luar biasaaaaa🎉,0
2024-07-11T14:17:15Z,@linamarlina4140,"Pinter IQ, EQ, sm SQ nya masyaAllah. Mudah2an anak aku jg kyk anak2 iniii. Aamiin",0
2024-07-11T14:16:59Z,@antisulisanti4897,kereeeennnn❤❤,0
2024-07-11T14:16:38Z,@user-jg1un6bm8j,next anak coc lainn,0
2024-07-11T14:16:06Z,@tiwikisna1790,"Beberapa tahun ini ketemu orang yang toxic positivity, tapi kalo ini positif beneran woy, denger ngomongnya aja jadi ikut seneng banget",0
2024-07-11T14:15:47Z,@justhendri345,Sdm rendah minggir😂😂😂,0
2024-07-11T14:15:42Z,@yourcalmrain1542,"Ngefans berat sama Xaviera &amp; Shakira, apalagi Shakira, dunia akhirat beuh mantap bgt Masya Allah 🤍🤍",1
2024-07-11T14:15:25Z,@bibiww2009,"liat apa sandy? <a href=""https://www.youtube.com/watch?v=s4B-EBsXcH8&amp;t=2419"">40:19</a>",1
2024-07-11T14:15:14Z,@FeliciaerikaUtama,undang maxwell juga harusnya,0
2024-07-11T14:14:46Z,@alnasyanurfajri4038,Next undang Maxwel😂😂,0
2024-07-11T14:14:29Z,@trihandayani6139,"Dulu waktu SMP aku dapat peringkat 3 besar dan di tawarkan beasiswa ke sekolah yg aku inginin tapi setelah ortu aku pikir dan menghitung kata beliau &quot;yg deket ajh SMA ny dan terjangkau aja, kn yg penting sekolah SMA,&quot; ya udh lah kata aku dri pd aku lulus SMP langsung kerja.. Dulu juga pas SD pengen bgt less bhs inggris sma MTK tapi apalah daya keadaan yg tidak memungkin kan.. Rumah dan motor aja ortu aku gx punya.. Jadi setelah lulus SMA ya mau gx mau fokus cari cuan buat keluarga sampe alhamdulillah bisa ke bangun rumah dan punya motor juga.. Mungkin rezeki aku di keluarga yg alhamdulillah bgt msih pada sehat semua..",0
2024-07-11T14:14:24Z,@ronyfcb1424,Shakira bercahaya 😊,1
2024-07-11T14:14:17Z,@dinesource,SO INSPIRINGGGGG,0
2024-07-11T14:14:11Z,@fathimaroom7450,Bagi 58% pendidikan itu fa penting gais😂 utamakan makan siang gratis🎉,0
2024-07-11T14:14:08Z,@putriazzahra681,sumpah demi apapun meraka keren2 bgttttttt❤,0
2024-07-11T14:13:09Z,@syinusrah4595,Waduh jangan di undang dulu. Sebelum acaranya selesai,0
2024-07-11T14:12:57Z,@dwikifirmansyah5711,kayak nya kalau orang&quot; ini kerja di indonesia ngerjain tes psikotes matematika jamin lolos tapi akan kalah dengan yang namanya calo/ordal wkwk,0
2024-07-11T14:12:29Z,@JefryWibowo,Yang mbub capila duh eksaited buad kejebak kejeduk. Lope&quot;,0
2024-07-11T14:12:23Z,@ipalkrukut3104,"Mereka pinter banget si, semoga bisa berjasa yaa untuk Negeri inii.",0
2024-07-11T14:12:07Z,@ferikafee,Sejam tp nonton 2x,0
2024-07-11T14:11:28Z,@ndarufajar2560,Bismillah gapapa nikah telat stabilin ekonomi dulu biar nanti bisa kasih pendidikan yg layak untuk anaku aamiin yaallah,0
2024-07-11T14:11:28Z,@harpeniussilaen3492,"Siapa yg sangka klo Xaviera yg jdi pemenangnya, pdhl dia udah ketinggalan, keren sig😂",0
2024-07-11T14:11:21Z,@joseorlandojefonrante650,"Keren, sy sbg ortu jd terbuka otaknya termotivasi utk bs memberikan pendidikan yg baik utk anak2ku agar mereka bs berhasil dgn usaha mrk sndiri krn dgn sndirinya mereka akan bangga pd diri sndiri dan tdk cpt menyerah sllu berjuang utk msa dpnnya, krn qt ortu tdk selamanya bs ada menolong mrk.",0
2024-07-11T14:11:14Z,@kubikelkata6336,Klo lihat shakira aku kok ingetnya kak tasyi....hehehe😂,0
2024-07-11T14:10:56Z,@herlynwel,Kalian yang luar biasa tapi malah aku yang bangga 🥰,0
